Location,Latitude,Longitude
Nettigere,47.50876,-122.834
O B Chudahalli,12.67999,77.61285
Peddanapalya,12.94392,77.40567
Punagumaranahalli,12.95466,77.70752
Puradapalya,13.1605,76.72797
Rachanamadu,38.89037,-77.03196
Ramohalli,12.90524,77.42017
Ravugodlu,12.74818,77.50178
Seegehalli,13.01293,77.72082
Seshagiripura,38.89037,-77.03196
Somanahalli,12.13502,78.04287
Sulikere,12.93889,77.44811
Sulivara,12.90273,77.36385
Sulivara Ramapura,25.09562,73.01127
Sunkadakatte,12.99007,77.50274
Tavakadahalli,13.6913,77.24078
Tavarekere,12.92238,77.61027
Thagachaguppe,12.87081,77.45045
Tharalu,30.0705,79.50102
Thattaguppe,38.89037,-77.03196
Thippagondanahalli,13.77811,77.20132
Thippur,9.87574,78.02487
Uttarahalli Manavarthekaval,12.90668,77.5446
Uttari,26.76065,80.08796
Vadahalli,12.87955,77.34191
Vaddarapalya,12.89131,77.79813
Varthur,12.94349,77.74702
Varthur Narasimhapura,16.0174,81.02981
Vasanthanahalli,38.89037,-77.03196
Venkatapura,13.27881,77.8088
Vittasandra,13.21892,77.88278
Yalachaguppe Ramapura,24.50787,81.11504
Yelachaguppe,38.89037,-77.03196
A Medihalli,14.23789,76.39296
Adigarakallahalli,12.83148,77.80012
Adigondanahalli,12.81463,77.75227
Adur,41.12198,48.30284
Agasa Thimmanahalli,13.63804,77.68927
Ali Bommasandra,12.81877,77.74035
Amani Bidarakere,13.9036,77.24517
Amani Doddakere,38.5182,25.94539
Andapura,11.06278,78.2255
Anekal,12.71021,77.69733
Aravantigepura,12.73538,77.71456
Arehalli,12.93419,77.83073
Arenur,51.38148,111.41837
Avadadenahalli,12.74616,77.71143
Avalahalli,13.45101,77.81127
B Hosahalli,12.88125,77.53321
Bagganadoddi,12.67725,77.01085
Balagaranahalli,13.02602,77.36808
Ballur,18.50543,77.54038
Banahalli,13.33609,77.99052
Banahalli,13.33609,77.99052
Bandapura,12.76805,77.7284
Bande Nalla Sandra,12.79301,77.65401
Bannerughatta,12.80132,77.57898
Bannerughatta Kaval,12.94075,77.60266
Begihalli,12.7915,77.60417
Bendiganahalli,12.81373,77.74121
Bestammanahalli,12.73032,77.7295
Bhaktipura,12.75219,77.7626
Bhoothanahalli,13.68375,77.11271
Bhovi Palya (Shanthi Pur),12.89372,77.63692
Bidaragere,12.71423,77.72355
Bidaraguppe,12.80478,77.78752
Bidarakadahalli,38.89037,-77.03196
Bikkanahalli,12.41947,78.10526
Bilchikkanahalli,13.50244,77.52769
Billapura,12.83719,77.78844
Bilwaradahalli,12.82761,77.56571
Bommandahalli,12.75312,77.63905
Bujangadasanakere,38.89037,-77.03196
Bukkasagara,13.1724,76.94691
Buragunte,45.12107,11.80132
Byagadadenahalli,12.75238,77.70401
Byalahalli,13.29574,78.02213
Byrappanahalli,13.07572,77.72436
Chambenahalli,13.7359,77.08093
Chandapura,12.79401,77.70015
Chandrapura Chatrakane,23.75379,86.11836
Channena Agrahara,12.70594,77.73847
Chikka Hagade,12.73676,77.70142
Chikka Hosahalli,12.67781,76.48933
Chikkadasarahalli,13.34498,77.88513
Chikkadunnasandra,12.48364,76.04986
Chikkanagamangala,12.86002,77.69677
Chikkanahalli,13.08667,78.06096
Chikkanahalli,13.08667,78.06096
Chikkanahatti,13.08667,78.06096
Chikkanekkundi,38.89037,-77.03196
Chikkathimmasandra,12.84212,77.74559
Chikkavaderapura,38.89037,-77.03196
Chintalmadivala,12.85155,77.71394
Chokkasandra,13.03812,77.51024
Choodasandra,38.89037,-77.03196
Chudenahalli,13.15611,78.01085
Dasanapura,13.0761,77.43508
Deshapande Guttahalli,12.91855,77.82355
Dodda Hagade,12.74154,77.69491
Doddathimmasandra,12.86616,77.7958
Dyavasandra,13.02078,77.5682
Gattahalli,13.26511,78.23079
Geratiganabele,12.67886,77.73581
Giddenahalli,13.34794,76.04427
Giddenahalli,13.34794,76.04427
Gollahalli,13.35912,78.10263
Gollahalli,13.35912,78.10263
Gonighattapura,38.89037,-77.03196
Gopasandra,12.84694,77.73785
Gottamaranahalli,13.26838,77.8454
Gowrenahalli,12.71864,77.68025
Guddahatti,16.00096,74.85598
Gudighattanahalli,38.89037,-77.03196
Gudnahalli,12.68879,77.72584
Gulimangala,10.68996,77.28154
Halasahalli Thippasandra,12.93734,77.74859
Haldenahalli,12.71767,77.70829
Halehalli,13.15568,75.56693
Halesampigehalli,13.0802,77.61966
Handenahalli,12.77782,76.67691
Haragadde,14.34292,74.76554
Harapanahalli,14.78957,75.98414
Harohalli,13.11972,77.58206
